2018-04-26 18:08:16 install libprocps6:amd64 <none> 2:3.3.12-3ubuntu1
2018-04-26 18:08:16 status half-installed libprocps6:amd64 2:3.3.12-3ubuntu1
2018-04-26 18:08:16 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2018-04-26 18:08:16 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2018-04-26 18:08:16 install libselinux1:amd64 <none> 2.7-2build2
2018-04-26 18:08:16 status half-installed libselinux1:amd64 2.7-2build2
2018-04-26 18:08:16 status unpacked libselinux1:amd64 2.7-2build2
2018-04-26 18:08:16 status unpacked libselinux1:amd64 2.7-2build2
2018-04-26 18:08:16 install libsemanage-common:all <none> 2.7-2build2
2018-04-26 18:08:16 status half-installed libsemanage-common:all 2.7-2build2
2018-04-26 18:08:16 status unpacked libsemanage-common:all 2.7-2build2
2018-04-26 18:08:16 status unpacked libsemanage-common:all 2.7-2build2
2018-04-26 18:08:16 install libsemanage1:amd64 <none> 2.7-2build2
2018-04-26 18:08:16 status half-installed libsemanage1:amd64 2.7-2build2
2018-04-26 18:08:16 status unpacked libsemanage1:amd64 2.7-2build2
2018-04-26 18:08:16 status unpacked libsemanage1:amd64 2.7-2build2
2018-04-26 18:08:16 install libsepol1:amd64 <none> 2.7-1
2018-04-26 18:08:16 status half-installed libsepol1:amd64 2.7-1
2018-04-26 18:08:16 status unpacked libsepol1:amd64 2.7-1
2018-04-26 18:08:16 status unpacked libsepol1:amd64 2.7-1
2018-04-26 18:08:16 install libsmartcols1:amd64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:08:16 status half-installed libsmartcols1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:17 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:17 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2018-04-26 18:08:17 install libss2:amd64 <none> 1.44.1-1
2018-04-26 18:08:17 status half-installed libss2:amd64 1.44.1-1
2018-04-26 18:08:17 status unpacked libss2:amd64 1.44.1-1
2018-04-26 18:08:17 status unpacked libss2:amd64 1.44.1-1
2018-04-26 18:08:17 install libsystemd0:amd64 <none> 237-3ubuntu10
2018-04-26 18:08:17 status half-installed libsystemd0:amd64 237-3ubuntu10
2018-04-26 18:08:17 status unpacked libsystemd0:amd64 237-3ubuntu10
2018-04-26 18:08:17 status unpacked libsystemd0:amd64 237-3ubuntu10
2018-04-26 18:08:17 install libtinfo5:amd64 <none> 6.1-1ubuntu1
2018-04-26 18:08:17 status half-installed libtinfo5:amd64 6.1-1ubuntu1
